id_dossier;libelle_etiquette
4481073;"Coord employeur"
4481073;"Produit bancaire"
4481074;"Coord employeur"
4481074;"Produit bancaire"
4481075;"Coord employeur"
4481075;"Produit bancaire"
4481076;"Coord employeur"
4481076;"Produit bancaire"
4481077;"Coord employeur"
4481077;"Produit bancaire"
4481078;"Coord employeur"
4481078;"Produit bancaire"
4481079;"Produit bancaire"
4481080;"Coord employeur"
4481080;"Produit bancaire"
4481081;"Coord employeur"
4481081;"Produit bancaire"
4481082;"Coord employeur"
4481082;"Produit bancaire"
4481083;"Coord employeur"
4481083;"Produit bancaire"
4481084;"Coord employeur"
4481084;"Produit bancaire"
4481085;"Produit bancaire"
4481086;"Coord employeur"
4481086;"Produit bancaire"
4481087;"Coord employeur"
4481087;"Produit bancaire"
4481088;"Coord employeur"
4481088;"Produit bancaire"
4481089;"Coord employeur"
4481089;"Produit bancaire"
4481090;"Coord employeur"
4481090;"Produit bancaire"
4481091;"Coord employeur"
4481091;"Produit bancaire"
4481092;"Coord employeur"
4481092;"Produit bancaire"
4481093;"Produit bancaire"
4481094;"Coord employeur"
4481094;"Produit bancaire"
4481095;"Coord employeur"
4481095;"Produit bancaire"
4481096;"Produit bancaire"
4481097;"Coord employeur"
4481097;"Produit bancaire"
4481098;"Coord employeur"
4481098;"Produit bancaire"
4481099;"Coord employeur"
4481099;"Produit bancaire"
4481100;"Coord employeur"
4481100;"Produit bancaire"
4481101;"Coord employeur"
4481101;"Produit bancaire"
4481102;"Produit bancaire"
4481103;"Coord employeur"
4481103;"Produit bancaire"
4481104;"Coord employeur"
4481104;"Produit bancaire"
4481105;"Produit bancaire"
4481106;"Produit bancaire"
4481107;"Coord employeur"
4481107;"Produit bancaire"
4481108;"Coord employeur"
4481108;"Produit bancaire"
4481109;"Produit bancaire"
4481110;"Produit bancaire"
4481111;"Coord employeur"
4481111;"Produit bancaire"
4481112;"Coord employeur"
4481112;"Produit bancaire"
4481113;"Coord employeur"
4481113;"Produit bancaire"
4481114;"Produit bancaire"
4481115;"Coord employeur"
4481115;"Produit bancaire"
4481116;"Coord employeur"
4481116;"Produit bancaire"
4481117;"Coord employeur"
4481117;"Produit bancaire"
4481118;"Coord employeur"
4481118;"Produit bancaire"
4481119;"Coord employeur"
4481119;"Produit bancaire"
4481120;"Coord employeur"
4481120;"Produit bancaire"
4481121;"Coord employeur"
4481121;"Produit bancaire"
4481122;"Coord employeur"
4481122;"Produit bancaire"
4481123;"Coord employeur"
4481123;"Produit bancaire"
4481124;"Produit bancaire"
4481125;"Coord employeur"
4481125;"Produit bancaire"
4481126;"Coord employeur"
4481126;"Produit bancaire"
4481127;"Coord employeur"
4481127;"Produit bancaire"
4481128;"Coord employeur"
4481128;"Produit bancaire"
4481129;"Coord employeur"
4481129;"Produit bancaire"
4481130;"Coord employeur"
4481130;"Produit bancaire"
4481131;"Produit bancaire"
4481132;"Coord employeur"
4481132;"Produit bancaire"
4481133;"Coord employeur"
4481133;"Produit bancaire"
4481134;"Coord employeur"
4481134;"Produit bancaire"
4481135;"Coord employeur"
4481135;"Produit bancaire"
4481136;"Produit bancaire"
4481137;"Coord employeur"
4481137;"Produit bancaire"
4481138;"Coord employeur"
4481138;"Produit bancaire"
4481139;"Coord employeur"
4481139;"Produit bancaire"
4481140;"Coord employeur"
4481140;"Produit bancaire"
4481141;"Produit bancaire"
4481142;"Coord employeur"
4481142;"Produit bancaire"
4481143;"Produit bancaire"
4481144;"Coord employeur"
4481144;"Produit bancaire"
4481145;"Coord employeur"
4481145;"Produit bancaire"
4481146;"Coord employeur"
4481146;"Produit bancaire"
4481147;"Produit bancaire"
4481148;"Coord employeur"
4481148;"Produit bancaire"
4481149;"Coord employeur"
4481149;"Produit bancaire"
4481150;"Coord employeur"
4481150;"Produit bancaire"
4481151;"Coord employeur"
4481151;"Produit bancaire"
4481152;"Coord employeur"
4481152;"Produit bancaire"
4481153;"Produit bancaire"
4481154;"Coord employeur"
4481154;"Produit bancaire"
4481155;"Coord employeur"
4481155;"Produit bancaire"
4481156;"Coord employeur"
4481156;"Produit bancaire"
4481157;"Coord employeur"
4481157;"Produit bancaire"
4481158;"Produit bancaire"
4481159;"Coord employeur"
4481159;"Produit bancaire"
4481160;"Coord employeur"
4481160;"Produit bancaire"
4481161;"Coord employeur"
4481161;"Produit bancaire"
4481162;"Coord employeur"
4481162;"Produit bancaire"
4481163;"Coord employeur"
4481163;"Produit bancaire"
4481164;"Coord employeur"
4481164;"Produit bancaire"
4481165;"Coord employeur"
4481165;"Produit bancaire"
4481166;"Produit bancaire"
4481167;"Produit bancaire"
4481168;"Coord employeur"
4481168;"Produit bancaire"
4481169;"Coord employeur"
4481169;"Produit bancaire"
4481170;"Coord employeur"
4481170;"Produit bancaire"
4481171;"Coord employeur"
4481171;"Produit bancaire"
4481172;"Coord employeur"
4481172;"Produit bancaire"
4481173;"Coord employeur"
4481173;"Produit bancaire"
