id_dossier;montant_reglement;date_reglement;type_reglement
4481077;522.44;2017-06-26;CHQ
4481079;264.78;2019-07-02;VIRT
4481082;257.22;2018-09-27;VIRT
4481085;50;2017-03-09;CB
4481111;362;2019-06-12;VIRT
4481113;16.8;2018-07-27;"SOUS TRAITANT"
4481115;200;2017-04-04;VIRT
4481135;100;2017-10-30;CB
4481146;10;2017-06-13;CB
4481158;26.56;2018-08-28;VIRT
4481178;37.85;2018-06-27;VIRT
4481181;132.18;2017-10-30;CB
4481186;33.2;2018-05-29;VIRT
4481195;50;2017-07-19;CB
4481196;99.6;2018-06-27;VIRT
4481206;50.4;2018-07-27;"SOUS TRAITANT"
4481218;100;2017-03-13;CB
4481219;203.18;2019-07-11;VIRT
4481220;50.4;2018-07-27;"SOUS TRAITANT"
4481232;20;2018-10-03;CB
4481242;10;2017-04-02;PRLVT
4481244;298.8;2018-09-27;VIRT
4481251;33.2;2018-10-29;VIRT
4481257;15;2017-04-03;CHQ
4481268;40.32;2018-07-27;"SOUS TRAITANT"
4481280;20;2017-04-04;CB
4481283;46.48;2018-04-27;VIRT
4481298;35.39;2018-07-27;"SOUS TRAITANT"
4481303;50;2019-04-17;PRLVT
4481305;100;2017-03-13;CB
4481311;320.71;2018-10-29;VIRT
4481322;33.2;2018-12-28;VIRT
4481326;140.31;2019-07-03;VIRT
4481340;30;2017-04-02;PRLVT
4481343;60.12;2017-03-17;CHQ
4481344;66.4;2018-08-28;VIRT
4481355;6.72;2018-07-27;"SOUS TRAITANT"
4481381;60;2017-05-03;CB
4481385;10;2017-03-09;CB
4481388;40;2017-05-26;CB
4481389;33.2;2018-07-27;VIRT
4481408;72.4;2019-06-21;VIRT
4481412;332;2018-08-28;VIRT
4481413;482.74;2018-01-31;CHQ
4481428;60;2017-10-30;CB
4481431;30;2017-05-21;PRLVT
4481433;33.2;2018-06-27;VIRT
4481438;20;2018-03-05;CB
4481439;12.48;2018-07-27;"SOUS TRAITANT"
4481460;1000;2018-07-11;VIRT
4481464;25.2;2019-01-31;VIRT
4481472;298.54;2018-04-27;VIRT
4481479;53.75;2018-12-28;VIRT
4481483;79.68;2018-05-29;VIRT
4481487;209.96;2019-07-17;VIRT
4481494;210.34;2017-03-20;CB
4481509;250;2017-03-07;CB
4481513;1081;2017-03-01;VIRT
4481517;20;2017-03-09;CB
4481519;20;2017-04-04;CB
4481520;66.4;2018-11-28;VIRT
4481532;2038;2017-04-06;VIRT
4481538;50;2017-10-30;CB
4481548;294.75;2019-05-16;CB
4481555;362;2019-06-06;VIRT
4481557;26.88;2018-07-27;"SOUS TRAITANT"
4481559;84.19;2019-07-05;VIRT
4481569;76.27;2019-06-14;VIRT
4481579;31.59;2019-06-21;VIRT
