CUSTOMER_ID,CHURN_PROBABILITY,CHURN_LABEL,CLIENT_TO_CONTACT,DISCOUNT
C100002,0.52,LEAVE,YES,33.8
C100003,0.54,STAY,NO,0.0
C100004,0.97,STAY,NO,0.0
C100005,0.99,STAY,NO,0.0
C100007,1.0,STAY,NO,0.0
C100009,0.94,STAY,NO,0.0
C100019,0.99,STAY,NO,0.0
C100032,0.8,STAY,NO,0.0
C100033,0.86,STAY,NO,0.0
C100034,0.77,LEAVE,YES,20.79
C100035,0.93,LEAVE,YES,62.31
C100039,0.99,STAY,NO,0.0
C100040,0.97,STAY,NO,0.0
C100042,0.75,LEAVE,YES,56.25
C100046,0.89,LEAVE,YES,184.23
C100047,0.87,STAY,NO,0.0
C100049,0.96,LEAVE,YES,167.04
C100052,0.71,STAY,NO,0.0
C100054,1.0,LEAVE,YES,152.0
C100055,0.79,LEAVE,YES,175.38
C100057,0.89,STAY,NO,0.0
C100061,0.96,LEAVE,NOT,0.0
C100062,0.96,STAY,NO,0.0
C100066,0.83,STAY,NO,0.0
C100069,0.91,STAY,NO,0.0
C100072,0.99,STAY,NO,0.0
C100076,0.98,STAY,NO,0.0
C100085,0.81,STAY,NO,0.0
C100089,1.0,STAY,NO,0.0
C100095,0.95,STAY,NO,0.0
C100096,0.53,STAY,NO,0.0
C100100,1.0,LEAVE,YES,150.0
C100101,0.64,STAY,NO,0.0
C100107,0.68,STAY,NO,0.0
C100108,0.98,STAY,NO,0.0
C100113,0.76,STAY,NO,0.0
C100115,1.0,STAY,NO,0.0
C100116,0.88,LEAVE,NOT,0.0
C100118,0.92,LEAVE,YES,202.4
C100124,1.0,STAY,NO,0.0
C100134,1.0,STAY,NO,0.0
C100135,0.86,STAY,NO,0.0
C100140,0.89,LEAVE,NOT,0.0
C100142,0.76,LEAVE,YES,43.32
C100146,1.0,STAY,NO,0.0
C100158,0.99,STAY,NO,0.0
C100161,0.89,LEAVE,YES,150.41
C100162,0.8,STAY,NO,0.0
C100167,1.0,LEAVE,NOT,0.0
C100168,0.8,LEAVE,YES,154.4
C100170,0.95,STAY,NO,0.0
C100173,0.99,LEAVE,NOT,0.0
C100174,0.67,LEAVE,YES,146.06
C100177,0.6,LEAVE,NOT,0.0
C100179,0.82,STAY,NO,0.0
C100189,0.68,STAY,NO,0.0
C100191,0.71,LEAVE,NOT,0.0
C100193,0.6,LEAVE,YES,33.6
C100194,0.95,STAY,NO,0.0
C100196,1.0,STAY,NO,0.0
C100212,0.94,LEAVE,YES,147.58
C100217,0.9,LEAVE,YES,187.2
C100228,1.0,STAY,NO,0.0
C100231,0.96,STAY,NO,0.0
C100235,0.6,STAY,NO,0.0
C100237,0.99,STAY,NO,0.0
C100240,0.91,STAY,NO,0.0
C100245,0.72,LEAVE,YES,141.84
C100247,1.0,STAY,NO,0.0
C100248,0.95,LEAVE,YES,32.3
C100253,0.58,STAY,NO,0.0
C100254,0.97,STAY,NO,0.0
C100261,0.93,STAY,NO,0.0
C100267,0.98,STAY,NO,0.0
C100275,0.94,STAY,NO,0.0
C100285,0.99,STAY,NO,0.0
C100291,0.74,LEAVE,NOT,0.0
C100294,0.86,STAY,NO,0.0
C100296,0.82,STAY,NO,0.0
C100301,0.75,STAY,NO,0.0
C100302,0.88,STAY,NO,0.0
C100303,0.88,STAY,NO,0.0
C100304,0.99,STAY,NO,0.0
C100310,0.94,STAY,NO,0.0
C100311,0.85,STAY,NO,0.0
C100312,0.99,STAY,NO,0.0
C100315,0.98,LEAVE,NOT,0.0
C100318,0.9,STAY,NO,0.0
C100320,0.54,STAY,NO,0.0
C100324,0.78,LEAVE,YES,30.42
C100329,0.57,LEAVE,YES,33.63
C100331,0.83,STAY,NO,0.0
C100338,0.66,STAY,NO,0.0
C100339,0.62,STAY,NO,0.0
C100340,1.0,STAY,NO,0.0
C100341,0.96,STAY,NO,0.0
C100355,0.92,LEAVE,YES,128.8
C100356,1.0,STAY,NO,0.0
C100358,0.69,STAY,NO,0.0
C100362,0.57,STAY,NO,0.0
C100376,0.97,STAY,NO,0.0
C100392,0.95,LEAVE,YES,207.1
C100396,1.0,STAY,NO,0.0
C100401,0.61,LEAVE,YES,97.6
C100408,0.99,STAY,NO,0.0
C100412,0.84,LEAVE,YES,47.88
C100416,1.0,STAY,NO,0.0
C100418,0.72,STAY,NO,0.0
C100419,0.95,LEAVE,YES,163.4
C100424,0.98,STAY,NO,0.0
C100427,0.99,STAY,NO,0.0
C100432,0.94,STAY,NO,0.0
C100436,0.83,LEAVE,YES,152.72
C100438,1.0,STAY,NO,0.0
C100442,0.8,LEAVE,YES,171.2
C100443,0.98,STAY,NO,0.0
C100445,0.72,STAY,NO,0.0
C100449,0.84,STAY,NO,0.0
C100451,1.0,STAY,NO,0.0
C100454,0.54,STAY,NO,0.0
C100457,0.97,LEAVE,YES,180.42
C100458,1.0,STAY,NO,0.0
C100467,1.0,STAY,NO,0.0
C100468,0.77,LEAVE,YES,53.13
C100470,0.54,STAY,NO,0.0
C100480,0.76,STAY,NO,0.0
C100487,0.87,STAY,NO,0.0
C100490,0.6,LEAVE,YES,29.4
